Symptom,Disease,Specialist,Disease_Label,Description
 burning_micturition  bladder_discomfort  foul_smell_of urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 bladder_discomfort  foul_smell_of urine  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 burning_micturition  bladder_discomfort  continuous_feel_of_urine,Urinary tract infection,Gynecologist,38,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  joint_pain  skin_peeling  silver_like_dusting  small_dents_in_nails  inflammatory_nails,Psoriasis,Dermatologist,35,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
 skin_rash  high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  red_sore_around_nose,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  high_fever  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
 skin_rash  blister  red_sore_around_nose  yellow_crust_ooze,Impetigo,Dermatologist,27,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
itching  skin_rash  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
 skin_rash  nodal_skin_eruptions  dischromic _patches,Fungal infection,Dermatologist,15,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
